item_no,blind_id,case_study,requirement_text,djs_score_1_to_5,comment
1,REQ-01,Bookkeeping,The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.,4,
2,REQ-10,Bookkeeping,"Users must be able to generate financial reports such as balance sheets, income statements, and cash flow statements.",3,
3,REQ-08,AD,"The EfficiencyAgent prioritizes ""Smoothness"" and ""Speed"" using the QP function to minimize Jerk.",2,
4,REQ-12,AD,"[Conflict Scenario for Negotiation] - The SafetyAgent prioritizes ""Passive Safety"" and strictly enforcing safe distances and MRM execution.",3,
5,REQ-05,ATM,The application should automatically withdraw funds from a related saving-account if the requested withdrawal amount on the checking-account is more than its current balance.,3,
6,REQ-11,AD,"It must strictly adhere to the ""Apollo Pilot Safety Report"" and the ""EM Motion Planner"" specifications.",3,
7,REQ-02,Bookkeeping,The system must support multiple currencies and handle currency conversion.,3,
8,REQ-09,ATM,The bank client must be able to deposit an amount to and withdraw an amount from his or her accounts using the bank application.,4,
9,REQ-03,AD,[System Context] The system is a Level 4 autonomous driving platform operating in mixed traffic environments.,3,
10,REQ-04,ATM,"Each transaction must be recorded, and the client must have the ability to review all transactions performed against a given account.",4,
11,REQ-13,ATM,"Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction.",4,
12,REQ-07,ATM,"If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction.",3,
13,REQ-06,AD,It must execute an MRM to safely pull over or stop in a low-risk zone within a specific time window.,3,