Blind_ID,Pair_ID,Case_Study,Method,System,Setting,Seed,Run_ID,Source_Requirement_ID,Source_File,Raw_Requirement_Text,Cleaned_Requirement_Text
R001,Bookkeeping-P03,Bookkeeping,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-bookkeeping-s101,RES-L2-005-04,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-bookkeeping-s101/phase3_integrated_kaos_model.json,Responsibility Requirement 4: The system shall ensure responsibility (regulatory accountability): The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.,The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.
R002,ATM-P07,ATM,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-atm-s101,SAF-L2-001-02,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-atm-s101/phase3_integrated_kaos_model.json,"Safety Requirement 2: The system shall ensure safety (fault tolerance): Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction.","Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction."
R003,AD-P04,AD,ArgRE,quare,negotiation_integration_verification,202,argre_af_preferred-ad-s202,EFF-L2-002-02,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-ad-s202/phase3_integrated_kaos_model.json,"Efficiency Requirement 2: The system shall ensure efficiency (throughput stability): [Conflict Scenario for Negotiation] - The SafetyAgent prioritizes ""Passive Safety"" and strictly enforcing safe distances and MRM execution.","[Conflict Scenario for Negotiation] - The SafetyAgent prioritizes ""Passive Safety"" and strictly enforcing safe distances and MRM execution."
R004,ATM-P04,ATM,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-atm-s101,SAF-L2-001-03,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-atm-s101/phase3_integrated_kaos_model.json,Safety Requirement 3: The system shall ensure safety (risk mitigation): A bank client can have two types of accounts.,A bank client can have two types of accounts.
R005,AD-P04,AD,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-ad-s101,EFF-L2-002-02,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-ad-s101/phase3_integrated_kaos_model.json,Efficiency Requirement 2: The system shall ensure efficiency (throughput stability): [System Context] The system is a Level 4 autonomous driving platform operating in mixed traffic environments.,[System Context] The system is a Level 4 autonomous driving platform operating in mixed traffic environments.
R006,ATM-P10,ATM,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-atm-s101,EFF-L2-002-03,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-atm-s101/phase3_integrated_kaos_model.json,"Efficiency Requirement 3: The system shall ensure efficiency (resource utilization): For each checking account, one related saving-account can exists.","For each checking account, one related saving-account can exists."
R007,ATM-P10,ATM,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-atm-s101,EFF-L2-002-03,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-atm-s101/phase3_integrated_kaos_model.json,"Efficiency Requirement 3: The system shall ensure efficiency (resource utilization): For each checking account, one related saving-account can exists.","For each checking account, one related saving-account can exists."
R008,ATM-P01,ATM,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-atm-s101,RES-L1-005,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-atm-s101/phase3_integrated_kaos_model.json,"Responsibility Goal: Responsibility objective for ATM: If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction.","If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction."
R009,ATM-P02,ATM,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-atm-s101,TRU-L1-004,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-atm-s101/phase3_integrated_kaos_model.json,Trustworthiness Goal: Trustworthiness objective for ATM: Neither a checking-account nor a saving-account can have a negative balance.,Neither a checking-account nor a saving-account can have a negative balance.
R010,AD-P03,AD,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-ad-s101,SUS-L2-003-04,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-ad-s101/phase3_integrated_kaos_model.json,Sustainability Requirement 4: The system shall ensure sustainability (energy footprint reduction): ODD (Operational Design Domain): - The system operates in specific urban and highway scenarios.,ODD (Operational Design Domain): - The system operates in specific urban and highway scenarios.
R011,Bookkeeping-P01,Bookkeeping,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-bookkeeping-s101,EFF-L2-002-04,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-bookkeeping-s101/phase3_integrated_kaos_model.json,Efficiency Requirement 4: The system shall ensure efficiency (latency optimization): A bookkeeping system must record financial transactions including income and expenses.,A bookkeeping system must record financial transactions including income and expenses.
R012,Bookkeeping-P06,Bookkeeping,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-bookkeeping-s101,TRU-L2-004-04,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-bookkeeping-s101/phase3_integrated_kaos_model.json,"Trustworthiness Requirement 4: The system shall ensure trustworthiness (security assurance): Users must be able to generate financial reports such as balance sheets, income statements, and cash flow statements.","Users must be able to generate financial reports such as balance sheets, income statements, and cash flow statements."
R013,AD-P01,AD,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-ad-s101,SUS-L2-003-03,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-ad-s101/phase3_integrated_kaos_model.json,Sustainability Requirement 3: The system shall ensure sustainability (environmental impact awareness): It must execute an MRM to safely pull over or stop in a low-risk zone within a specific time window.,It must execute an MRM to safely pull over or stop in a low-risk zone within a specific time window.
R014,Bookkeeping-P06,Bookkeeping,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-bookkeeping-s101,TRU-L2-004-04,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-bookkeeping-s101/phase3_integrated_kaos_model.json,"Trustworthiness Requirement 4: The system shall ensure trustworthiness (security assurance): Users must be able to generate financial reports such as balance sheets, income statements, and cash flow statements.","Users must be able to generate financial reports such as balance sheets, income statements, and cash flow statements."
R015,AD-P03,AD,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-ad-s101,SUS-L2-003-04,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-ad-s101/phase3_integrated_kaos_model.json,Sustainability Requirement 4: The system shall ensure sustainability (energy footprint reduction): ODD (Operational Design Domain): - The system operates in specific urban and highway scenarios.,ODD (Operational Design Domain): - The system operates in specific urban and highway scenarios.
R016,Bookkeeping-P03,Bookkeeping,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-bookkeeping-s101,RES-L2-005-04,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-bookkeeping-s101/phase3_integrated_kaos_model.json,Responsibility Requirement 4: The system shall ensure responsibility (regulatory accountability): The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.,The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.
R017,AD-P01,AD,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-ad-s101,SUS-L2-003-03,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-ad-s101/phase3_integrated_kaos_model.json,Sustainability Requirement 3: The system shall ensure sustainability (environmental impact awareness): It must execute an MRM to safely pull over or stop in a low-risk zone within a specific time window.,It must execute an MRM to safely pull over or stop in a low-risk zone within a specific time window.
R018,Bookkeeping-P04,Bookkeeping,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-bookkeeping-s101,SUS-L2-003-01,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-bookkeeping-s101/phase3_integrated_kaos_model.json,Sustainability Requirement 1: The system shall ensure sustainability (energy footprint reduction): The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.,The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.
R019,Bookkeeping-P01,Bookkeeping,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-bookkeeping-s101,EFF-L2-002-04,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-bookkeeping-s101/phase3_integrated_kaos_model.json,Efficiency Requirement 4: The system shall ensure efficiency (latency optimization): A bookkeeping system must record financial transactions including income and expenses.,A bookkeeping system must record financial transactions including income and expenses.
R020,Bookkeeping-P02,Bookkeeping,ArgRE-NoAF,quare,negotiation_integration_verification,202,argre_noaf_original-bookkeeping-s202,TRU-L2-004-06,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-bookkeeping-s202/phase3_integrated_kaos_model.json,Trustworthiness Requirement 6: The system shall ensure trustworthiness (integrity guarantees): A bookkeeping system must record financial transactions including income and expenses.,A bookkeeping system must record financial transactions including income and expenses.
R021,ATM-P06,ATM,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-atm-s101,SUS-L2-003-04,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-atm-s101/phase3_integrated_kaos_model.json,Sustainability Requirement 4: The system shall ensure sustainability (energy footprint reduction): The application should automatically withdraw funds from a related saving-account if the requested withdrawal amount on the checking-account is more than its current balance.,The application should automatically withdraw funds from a related saving-account if the requested withdrawal amount on the checking-account is more than its current balance.
R022,ATM-P07,ATM,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-atm-s101,SAF-L2-001-02,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-atm-s101/phase3_integrated_kaos_model.json,"Safety Requirement 2: The system shall ensure safety (fault tolerance): Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction.","Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction."
R023,AD-P02,AD,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-ad-s101,RES-L1-005,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-ad-s101/phase3_integrated_kaos_model.json,Responsibility Goal: Responsibility objective for AD: - Step 1 (E-step): Generate an optimal path in the Frenet Frame (SL-Graph).,Step 1 (E-step): Generate an optimal path in the Frenet Frame (SL-Graph).
R024,ATM-P04,ATM,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-atm-s101,SAF-L2-001-03,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-atm-s101/phase3_integrated_kaos_model.json,Safety Requirement 3: The system shall ensure safety (risk mitigation): A bank client can have two types of accounts.,A bank client can have two types of accounts.
R025,ATM-P06,ATM,ArgRE,quare,negotiation_integration_verification,202,argre_af_preferred-atm-s202,SUS-L2-003-04,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-atm-s202/phase3_integrated_kaos_model.json,"Sustainability Requirement 4: The system shall ensure sustainability (energy footprint reduction): If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction.","If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction."
R026,Bookkeeping-P04,Bookkeeping,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-bookkeeping-s101,SUS-L2-003-01,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-bookkeeping-s101/phase3_integrated_kaos_model.json,Sustainability Requirement 1: The system shall ensure sustainability (energy footprint reduction): The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.,The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.
R027,Bookkeeping-P05,Bookkeeping,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-bookkeeping-s101,SUS-L2-003-02,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-bookkeeping-s101/phase3_integrated_kaos_model.json,Sustainability Requirement 2: The system shall ensure sustainability (resource lifecycle control): The system must support multiple currencies and handle currency conversion.,The system must support multiple currencies and handle currency conversion.
R028,Bookkeeping-P02,Bookkeeping,ArgRE,quare,negotiation_integration_verification,202,argre_af_preferred-bookkeeping-s202,TRU-L2-004-06,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-bookkeeping-s202/phase3_integrated_kaos_model.json,Trustworthiness Requirement 6: The system shall ensure trustworthiness (integrity guarantees): A bookkeeping system must record financial transactions including income and expenses.,A bookkeeping system must record financial transactions including income and expenses.
R029,ATM-P02,ATM,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-atm-s101,TRU-L1-004,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-atm-s101/phase3_integrated_kaos_model.json,Trustworthiness Goal: Trustworthiness objective for ATM: Neither a checking-account nor a saving-account can have a negative balance.,Neither a checking-account nor a saving-account can have a negative balance.
R030,ATM-P09,ATM,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-atm-s101,EFF-L2-002-02,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-atm-s101/phase3_integrated_kaos_model.json,Efficiency Requirement 2: The system shall ensure efficiency (throughput stability): A checking-account and a saving-account.,A checking-account and a saving-account.
R031,ATM-P05,ATM,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-atm-s101,RES-L2-005-04,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-atm-s101/phase3_integrated_kaos_model.json,"Responsibility Requirement 4: The system shall ensure responsibility (regulatory accountability): Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction.","Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction."
R032,Bookkeeping-P05,Bookkeeping,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-bookkeeping-s101,SUS-L2-003-02,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-bookkeeping-s101/phase3_integrated_kaos_model.json,Sustainability Requirement 2: The system shall ensure sustainability (resource lifecycle control): The system must support multiple currencies and handle currency conversion.,The system must support multiple currencies and handle currency conversion.
R033,AD-P05,AD,ArgRE,quare,negotiation_integration_verification,202,argre_af_preferred-ad-s202,EFF-L2-002-03,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-ad-s202/phase3_integrated_kaos_model.json,"Efficiency Requirement 3: The system shall ensure efficiency (resource utilization): - The EfficiencyAgent prioritizes ""Smoothness"" and ""Speed"" using the QP function to minimize Jerk.","The EfficiencyAgent prioritizes ""Smoothness"" and ""Speed"" using the QP function to minimize Jerk."
R034,ATM-P05,ATM,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-atm-s101,RES-L2-005-04,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-atm-s101/phase3_integrated_kaos_model.json,"Responsibility Requirement 4: The system shall ensure responsibility (regulatory accountability): Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction.","Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction."
R035,ATM-P08,ATM,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-atm-s101,SAF-L2-001-01,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-atm-s101/phase3_integrated_kaos_model.json,"Safety Requirement 1: The system shall ensure safety (hazard prevention): Each transaction must be recorded, and the client must have the ability to review all transactions performed against a given account.","Each transaction must be recorded, and the client must have the ability to review all transactions performed against a given account."
R036,ATM-P09,ATM,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-atm-s101,EFF-L2-002-02,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-atm-s101/phase3_integrated_kaos_model.json,Efficiency Requirement 2: The system shall ensure efficiency (throughput stability): A checking-account and a saving-account.,A checking-account and a saving-account.
R037,AD-P02,AD,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-ad-s101,RES-L1-005,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-ad-s101/phase3_integrated_kaos_model.json,Responsibility Goal: Responsibility objective for AD: - Step 1 (E-step): Generate an optimal path in the Frenet Frame (SL-Graph).,Step 1 (E-step): Generate an optimal path in the Frenet Frame (SL-Graph).
R038,ATM-P03,ATM,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-atm-s101,SUS-L2-003-05,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-atm-s101/phase3_integrated_kaos_model.json,"Sustainability Requirement 5: The system shall ensure sustainability (resource lifecycle control): If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction.","If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction."
R039,ATM-P03,ATM,ArgRE,quare,negotiation_integration_verification,202,argre_af_preferred-atm-s202,SUS-L2-003-05,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-atm-s202/phase3_integrated_kaos_model.json,Sustainability Requirement 5: The system shall ensure sustainability (resource lifecycle control): The bank client must be able to deposit an amount to and withdraw an amount from his or her accounts using the bank application.,The bank client must be able to deposit an amount to and withdraw an amount from his or her accounts using the bank application.
R040,ATM-P01,ATM,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-atm-s101,RES-L1-005,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-atm-s101/phase3_integrated_kaos_model.json,"Responsibility Goal: Responsibility objective for ATM: If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction.","If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction."
R041,AD-P05,AD,ArgRE-NoAF,quare,negotiation_integration_verification,101,argre_noaf_original-ad-s101,EFF-L2-002-03,report/blind_requirement_quality_runs/argre_noaf_original/runs/argre_noaf_original-ad-s101/phase3_integrated_kaos_model.json,"Efficiency Requirement 3: The system shall ensure efficiency (resource utilization): It must strictly adhere to the ""Apollo Pilot Safety Report"" and the ""EM Motion Planner"" specifications.","It must strictly adhere to the ""Apollo Pilot Safety Report"" and the ""EM Motion Planner"" specifications."
R042,ATM-P08,ATM,ArgRE,quare,negotiation_integration_verification,101,argre_af_preferred-atm-s101,SAF-L2-001-01,report/blind_requirement_quality_runs/argre_af_preferred/runs/argre_af_preferred-atm-s101/phase3_integrated_kaos_model.json,"Safety Requirement 1: The system shall ensure safety (hazard prevention): Each transaction must be recorded, and the client must have the ability to review all transactions performed against a given account.","Each transaction must be recorded, and the client must have the ability to review all transactions performed against a given account."
